Title,Author,Identifier,Inventory,Count,Rate,Publisher,PublishedDate
2022年操作系统考研复习指导,王道论坛组编,G643:TP/37(2022),6,3,0.5,电子工业出版社,2021
大众传播理论:范式与流派,刘海龙著,37.103/0234,5,3,0.6,中国人民大学出版社,2008.02
线性代数辅导讲义,主编李永乐,G643:O151.2/21(2022),4,3,0.75,中国农业出版社,2021
2020考研英语 (二) 老蒋讲真题.第1季:试卷版 (第11版):2010-2015.第7版,老蒋图书编委会编写,G643:H3-44/4-1=7(2020),6,3,0.5,机械工业出版社,2019.01
“思想道德修养与法律基础”教学疑难深度解析,"中国人民大学马克思主义学院, 北京高校思想政治理论课高精尖创新中心组编",G641.6/31,6,3,0.5,中国人民大学出版社,2019
大学生就业指导教程,张兵仿主编,G647.38-43/15,6,3,0.5,时事出版社,2016
高校意识形态工作话语权研究,王永进著,G641/138,4,3,0.75,上海交通大学出版社,2017
2020考研英语 (二) 历年真题老蒋详解.第2季:5+1研读版:2016-2019.第11版,老蒋主编,G643:H310.42/15-2=11(2020),6,3,0.5,中国人民大学出版社,2019.05
2018考研英语 (二) 老蒋讲真题.第2季:2014-2017.第9版,老蒋图书编委会编写,G643:H-44/4-2=9(2018),8,3,0.38,机械工业出版社,2017
运筹学解题方法技巧归纳:名校考研(硕博)真题解析,梅述恩编著,G643:O22/1,6,3,0.5,华中科技大学出版社,2017
跨文化能力研究,戴晓东著,G115/19,4,3,0.75,外语教学与研究出版社,2018
大学生就业指导教程,阎大伟主编,G647.38-43/9,6,3,0.5,中国社会科学出版社,2013.03
如何有效阅读一本书:超实用笔记读书法,(日) 奥野宣之著,G792/36,6,3,0.5,江西人民出版社,2016
大学生就业指导,"罗二平, 艾军主编",G647.38/116,6,3,0.5,高等教育出版社,2014
大学生就业指导实训教程.第2版,主编李莉,G647.38-43/31=2,4,3,0.75,北京理工大学出版社,2021
MBA论文写作指南,余来文 ... [等] 编著,G642.477-62/9,6,3,0.5,经济管理出版社,2019
"文献信息检索与案例分析,学术硕士分册","主编王瑜, 张丽英, 高彦静",G254.9/23-1,6,3,0.5,科学出版社,2018
大学生就业指导,黄赤兵主编,G647.38/78,4,3,0.75,厦门大学出版社,2012
